code,neighborhood,category,city,state
20000,Aguascalientes Centro,Colonia,Aguascalientes,Aguascalientes
20010,San Cayetano,Fraccionamiento,Aguascalientes,Aguascalientes
20010,Colinas del Rio,Fraccionamiento,Aguascalientes,Aguascalientes
20010,Olivares Santana,Colonia,Aguascalientes,Aguascalientes
20010,Las Brisas,Fraccionamiento,Aguascalientes,Aguascalientes
20010,Ramon Romo Franco,Fraccionamiento,Aguascalientes,Aguascalientes
20016,Colinas de San Ignacio,Fraccionamiento,Aguascalientes,Aguascalientes
20016,La Fundición,Fraccionamiento,Aguascalientes,Aguascalientes
20016,Fundición II,Fraccionamiento,Aguascalientes,Aguascalientes
20016,Los Sauces,Fraccionamiento,Aguascalientes,Aguascalientes
20018,Línea de Fuego,Colonia,Aguascalientes,Aguascalientes
20020,Buenos Aires,Colonia,Aguascalientes,Aguascalientes
20020,Circunvalación Norte,Fraccionamiento,Aguascalientes,Aguascalientes
20020,Las Arboledas,Fraccionamiento,Aguascalientes,Aguascalientes
20020,Villas de San Francisco,Fraccionamiento,Aguascalientes,Aguascalientes
20029,Villas de La Universidad,Fraccionamiento,Aguascalientes,Aguascalientes
20030,El Sol,Fraccionamiento,Aguascalientes,Aguascalientes
20030,Gremial,Colonia,Aguascalientes,Aguascalientes
20030,Industrial,Colonia,Aguascalientes,Aguascalientes
20040,Altavista,Colonia,Aguascalientes,Aguascalientes
20040,Curtidores,Colonia,Aguascalientes,Aguascalientes
20040,La Concordia,Fraccionamiento,Aguascalientes,Aguascalientes
20040,Miravalle,Colonia,Aguascalientes,Aguascalientes
20040,Panorama,Fraccionamiento,Aguascalientes,Aguascalientes
20040,Residencial Guadalupe,Fraccionamiento,Aguascalientes,Aguascalientes
20049,Colinas del Poniente,Fraccionamiento,Aguascalientes,Aguascalientes
20050,Bugambilias,Condominio,Aguascalientes,Aguascalientes
20050,Del Carmen,Colonia,Aguascalientes,Aguascalientes
20050,La Fe,Colonia,Aguascalientes,Aguascalientes
20050,México,Colonia,Aguascalientes,Aguascalientes
20050,Primavera,Colonia,Aguascalientes,Aguascalientes
20050,San Pablo,Colonia,Aguascalientes,Aguascalientes
20059,Guadalupe,Colonia,Aguascalientes,Aguascalientes
20059,Heliodoro Garcia,Colonia,Aguascalientes,Aguascalientes
20060,Gómez,Fraccionamiento,Aguascalientes,Aguascalientes
20060,Moderno,Fraccionamiento,Aguascalientes,Aguascalientes
20064,Valle del Rio San Pedro,Fraccionamiento,Aguascalientes,Aguascalientes
20070,Guadalupe Posada,Unidad habitacional,Aguascalientes,Aguascalientes
20070,San Marcos,Colonia,Aguascalientes,Aguascalientes
20070,San Marcos,Barrio,Aguascalientes,Aguascalientes
20078,San Marcos,Fraccionamiento,Aguascalientes,Aguascalientes
20080,Modelo,Fraccionamiento,Aguascalientes,Aguascalientes
20080,Residencial del Valle I,Fraccionamiento,Aguascalientes,Aguascalientes
20089,Residencial del Valle II,Fraccionamiento,Aguascalientes,Aguascalientes
20100,La Herradura,Fraccionamiento,Aguascalientes,Aguascalientes
20100,Club Campestre,Fraccionamiento,Aguascalientes,Aguascalientes
20100,Jardines del Campestre,Condominio,Aguascalientes,Aguascalientes
20100,Los Vergeles,Fraccionamiento,Aguascalientes,Aguascalientes
20100,Ciudad Universitaria,Equipamiento,Aguascalientes,Aguascalientes
20100,Rancho San Antonio,Condominio,Aguascalientes,Aguascalientes
20110,Talamantes Ponce,Colonia,Aguascalientes,Aguascalientes
20110,Granjas del Campestre,Fraccionamiento,Aguascalientes,Aguascalientes
20110,Puerto las Hadas,Condominio,Aguascalientes,Aguascalientes
20110,Valle del Campestre,Fraccionamiento,Aguascalientes,Aguascalientes
20110,Villas de Montenegro,Fraccionamiento,Aguascalientes,Aguascalientes
20110,Las Cavas,Fraccionamiento,Aguascalientes,Aguascalientes
20110,La Enramada,Fraccionamiento,Aguascalientes,Aguascalientes
20115,Trojes de Oriente,Fraccionamiento,Aguascalientes,Aguascalientes
20115,Valle de las Trojes,Fraccionamiento,Aguascalientes,Aguascalientes
20115,Villas de San Nicolás,Fraccionamiento,Aguascalientes,Aguascalientes
20115,San Telmo,Fraccionamiento,Aguascalientes,Aguascalientes
20115,La Paloma,Condominio,Aguascalientes,Aguascalientes
20115,Barrio de Santiago,Fraccionamiento,Aguascalientes,Aguascalientes
20115,Villa de las Trojes,Fraccionamiento,Aguascalientes,Aguascalientes
20115,Valle de Santa Teresa,Fraccionamiento,Aguascalientes,Aguascalientes
20116,La Troje,Fraccionamiento,Aguascalientes,Aguascalientes
20116,Trojes de Alonso,Colonia,Aguascalientes,Aguascalientes
20116,San Telmo Residencial,Fraccionamiento,Aguascalientes,Aguascalientes
20116,Santa Fe,Condominio,Aguascalientes,Aguascalientes
20117,Aguascalientes 2000,Fraccionamiento,Aguascalientes,Aguascalientes
20118,Las Trojes,Condominio,Aguascalientes,Aguascalientes
20118,Misión del Campanario,Fraccionamiento,Aguascalientes,Aguascalientes
20118,Trojes de Cristal,Fraccionamiento,Aguascalientes,Aguascalientes
20118,Trojes del Sol,Condominio,Aguascalientes,Aguascalientes
20118,Residencial Santa Clara,Fraccionamiento,Aguascalientes,Aguascalientes
20118,Misión de Santiago,Fraccionamiento,Aguascalientes,Aguascalientes
20118,Andora Residencial,Condominio,Aguascalientes,Aguascalientes
20118,Cadaqués Residencial,Condominio,Aguascalientes,Aguascalientes
20118,Valle del Campanario,Fraccionamiento,Aguascalientes,Aguascalientes
20118,Las Misiones,Fraccionamiento,Aguascalientes,Aguascalientes
20118,Los Jarales,Condominio,Aguascalientes,Aguascalientes
20118,Cerrada El Molino,Condominio,Aguascalientes,Aguascalientes
20118,Valle Real,Fraccionamiento,Aguascalientes,Aguascalientes
20118,Terzetto,Condominio,Aguascalientes,Aguascalientes
20118,Cerrada de La Misión,Fraccionamiento,Aguascalientes,Aguascalientes
20118,Cerrada del Valle,Fraccionamiento,Aguascalientes,Aguascalientes
20118,Cerrada de la Mezquitera,Fraccionamiento,Aguascalientes,Aguascalientes
20119,Lomas del Campestre 2a Sección,Fraccionamiento,Aguascalientes,Aguascalientes
20119,Villas del Campestre,Fraccionamiento,Aguascalientes,Aguascalientes
20119,Los Calicantos,Fraccionamiento,Aguascalientes,Aguascalientes
20120,Jardines de la Concepción,Fraccionamiento,Aguascalientes,Aguascalientes
20120,Los Bosques,Fraccionamiento,Aguascalientes,Aguascalientes
20120,Rinconada los Bosques,Condominio,Aguascalientes,Aguascalientes
20123,La Perla Norte,Condominio,Aguascalientes,Aguascalientes
20123,Arroyo El Molino,Fraccionamiento,Aguascalientes,Aguascalientes
20124,Galerías,Zona comercial,Aguascalientes,Aguascalientes
20124,Residencial Altaria,Fraccionamiento,Aguascalientes,Aguascalientes
20126,Villa Teresa,Fraccionamiento,Aguascalientes,Aguascalientes
20126,Cartagena 1947,Fraccionamiento,Aguascalientes,Aguascalientes
20126,Villas de La Convención,Fraccionamiento,Aguascalientes,Aguascalientes
20126,Lomas de La Asunción,Fraccionamiento,Aguascalientes,Aguascalientes
20126,Villa de Nuestra Señora de La Asunción Sector Encino,Fraccionamiento,Aguascalientes,Aguascalientes
20126,Villa de Nuestra Señora de La Asunción Sector Alameda,Fraccionamiento,Aguascalientes,Aguascalientes
20126,San José de Pozo Bravo,Fraccionamiento,Aguascalientes,Aguascalientes
20126,Villa de Nuestra Señora de La Asunción Sector San Marcos,Fraccionamiento,Aguascalientes,Aguascalientes
20126,Villa de Nuestra Señora de La Asunción Sector Estación,Fraccionamiento,Aguascalientes,Aguascalientes
20126,Las Plazas,Condominio,Aguascalientes,Aguascalientes
20126,El Rosedal,Fraccionamiento,Aguascalientes,Aguascalientes
20126,Natura,Fraccionamiento,Aguascalientes,Aguascalientes
20126,Montebello Della Stanza,Fraccionamiento,Aguascalientes,Aguascalientes
